Job Name,Environment,Description,Current Date,Policy Name,Days to Keep,Extended Retention,Source Name,Snapshot Deleted,Job Start Time,Job End Time,Total GiB Read,Total GiB WRitten,Total Logical Size in  Gib,Replication Target,Latest Backup Run Status,Previous Backup Status,Previous Job Start Time
IR2017PRD,kView,,11292021,Savage_replicate,14,No extended retention,['IR2017PRD'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
IR2018PRD,kView,,11292021,Savage_replicate,14,No extended retention,['IR2018PRD'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
IR2019PRD,kView,,11292021,Savage_replicate,14,No extended retention,['IR2019PRD'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
IR2020PRD,kView,,11292021,Savage_replicate,14,No extended retention,['IR2020PRD'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
IR2021PRD,kView,,11292021,Savage_replicate,14,No extended retention,['IR2021PRD'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
EIPIR,kView,,11292021,Savage_replicate,14,No extended retention,['EIPIR'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
EIPPROD,kView,,11292021,Savage_replicate,14,No extended retention,['EIPPROD'],False,11-28-2021 12:44:01,11-28-2021 12:44:06,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:44:00
Applications,kView,Description should be printed correctly ,11292021,Savage_replicate,14,No extended retention,['Applications'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
admin-Claims,kView,,11292021,Savage_replicate,14,No extended retention,['admin-Claims'],False,11-29-2021 11:04:42,11-29-2021 11:04:47,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-28-2021 12:47:00
DW,kView,,11292021,Savage_replicate,14,No extended retention,['DW'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
EA,kView,,11292021,Savage_replicate,14,No extended retention,['EA'],False,11-28-2021 12:47:00,11-28-2021 12:47:05,0.0,0.0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 12:47:01
