0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Job Name,Environment,Description,Policy Name,Days to Keep,Extended Retention,Source Name,Snapshot Deleted,Job Start Time,Job End Time,Total Bytes Read,Total Logical Backup Size,Replication Target,Latest Backup Run Status,Previous Backup Status
IR2020PRD,kView,,Savage_replicate,14,No extended retention,['IR2020PRD'],False,11-18-2021 12:44:00,11-18-2021 12:44:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
IR2021PRD,kView,,Savage_replicate,14,No extended retention,['IR2021PRD'],False,11-18-2021 12:44:00,11-18-2021 12:44:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
EIPIR,kView,,Savage_replicate,14,No extended retention,['EIPIR'],False,11-18-2021 12:44:00,11-18-2021 12:44:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
EIPPROD,kView,,Savage_replicate,14,No extended retention,['EIPPROD'],False,11-18-2021 12:44:00,11-18-2021 12:44:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
Applications,kView,,Savage_replicate,14,No extended retention,['Applications'],False,11-18-2021 12:47:01,11-18-2021 12:47:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
admin-Claims,kView,,Savage_replicate,14,No extended retention,['admin-Claims'],False,11-18-2021 12:47:01,11-18-2021 12:47:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
DW,kView,,Savage_replicate,14,No extended retention,['DW'],False,11-18-2021 12:47:01,11-18-2021 12:47:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
EA,kView,,Savage_replicate,14,No extended retention,['EA'],False,11-18-2021 12:47:01,11-18-2021 12:47:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
Executive,kView,,Savage_replicate,14,No extended retention,['Executive'],False,11-18-2021 12:47:01,11-18-2021 12:47:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
Finance,kView,,Savage_replicate,14,No extended retention,['Finance'],False,11-18-2021 12:47:01,11-18-2021 12:47:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
Governanace,kView,,Savage_replicate,14,No extended retention,['Governanace'],False,11-18-2021 12:47:01,11-18-2021 12:47:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
IntOps,kView,,Savage_replicate,14,No extended retention,['IntOps'],False,11-18-2021 12:47:01,11-18-2021 12:47:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
IT,kView,,Savage_replicate,14,No extended retention,['IT'],False,11-18-2021 12:47:01,11-18-2021 12:47:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
admin-Phoenix,kView,,Savage_replicate,14,No extended retention,['admin-Phoenix'],False,11-18-2021 12:47:01,11-18-2021 12:47:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
Public,kView,,Savage_replicate,14,No extended retention,['Public'],False,11-18-2021 12:47:01,11-18-2021 12:47:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
Risk-Compliance,kView,,Savage_replicate,14,No extended retention,['Risk-Compliance'],False,11-18-2021 12:47:01,11-18-2021 12:47:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
Security-Guards,kView,,Savage_replicate,14,No extended retention,['Security-Guards'],False,11-18-2021 12:47:01,11-18-2021 12:47:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
Underwriting,kView,,Savage_replicate,14,No extended retention,['Underwriting'],False,11-18-2021 12:47:01,11-18-2021 12:47:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
users,kView,,Savage_replicate,14,No extended retention,['users'],False,11-18-2021 12:47:01,11-18-2021 12:47:06,0,0,No Replicatoin Cluster,kSuccess,kSuccess
dttc_test3,kPhysical,,Bronze,30,90,['10.26.1.78'],False,11-18-2021 15:14:01,11-18-2021 15:25:15,0,0,No Replicatoin Cluster,kFailure,kFailure
