Job Name,Environment,Description,Policy Name,Days to Keep,Extended Retention,Source Name,Snapshot Deleted,Job Start Time,Job End Time,Total Bytes Read,Total Logical Backup Size,Replication Target,Latest Backup Run Status,Previous Backup Status,Previous Job Start Time
10.26.1.78-EA,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\EA'],False,11-20-2021 12:18:01,11-20-2021 12:35:51,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 12:18:00
10.26.1.78-admin-Finance,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Finance'],False,11-20-2021 12:18:01,11-20-2021 12:35:49,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 12:18:00
10.26.1.78-Governanace,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Governanace'],False,11-20-2021 12:19:02,11-20-2021 12:36:52,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 12:19:01
10.26.1.78-admin-IntOps,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IntOps'],False,11-20-2021 12:19:02,11-20-2021 12:36:52,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 12:19:01
10.26.1.78-IT,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IT'],False,11-20-2021 12:19:02,11-20-2021 12:36:47,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 12:19:01
10.26.1.78-admin-Phoenix,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Phoenix'],False,11-20-2021 12:19:02,11-20-2021 12:36:52,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 12:19:01
10.26.1.78-admin-Public,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Public'],False,11-20-2021 12:19:02,11-20-2021 12:36:47,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 12:19:01
10.26.1.78-Risk-Compliance,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Risk-Compliance'],False,11-20-2021 12:19:02,11-20-2021 12:36:52,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 12:19:01
10.26.1.78-Security-Guards,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Security-Guards'],False,11-20-2021 12:19:02,11-20-2021 12:36:47,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 12:19:01
10.26.1.78-admin-Underwriting,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Underwriting'],False,11-20-2021 12:19:02,11-20-2021 12:36:52,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 12:19:01
10.26.1.78-users,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\users'],False,11-20-2021 12:19:02,11-20-2021 12:36:52,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 12:19:01
10.26.1.78-Executive,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\Executive'],False,11-20-2021 10:30:01,11-20-2021 10:47:49,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 10:30:00
share,kView,,Savage_replicate,14,No extended retention,['share'],False,11-20-2021 12:44:02,11-20-2021 12:44:07,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:44:01
IR2014PRD,kView,,Savage_replicate,14,No extended retention,['IR2014PRD'],False,11-20-2021 12:44:02,11-20-2021 12:44:07,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:44:01
IR2015PRD,kView,,Savage_replicate,14,No extended retention,['IR2015PRD'],False,11-20-2021 12:44:02,11-20-2021 12:44:07,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:44:01
IR2016PRD,kView,,Savage_replicate,14,No extended retention,['IR2016PRD'],False,11-20-2021 12:44:02,11-20-2021 12:44:07,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:44:01
IR2017PRD,kView,,Savage_replicate,14,No extended retention,['IR2017PRD'],False,11-20-2021 12:44:02,11-20-2021 12:44:07,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:44:01
IR2018PRD,kView,,Savage_replicate,14,No extended retention,['IR2018PRD'],False,11-20-2021 12:44:02,11-20-2021 12:44:07,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:44:01
IR2019PRD,kView,,Savage_replicate,14,No extended retention,['IR2019PRD'],False,11-20-2021 12:44:02,11-20-2021 12:44:07,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:44:01
IR2020PRD,kView,,Savage_replicate,14,No extended retention,['IR2020PRD'],False,11-20-2021 12:44:02,11-20-2021 12:44:07,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:44:01
IR2021PRD,kView,,Savage_replicate,14,No extended retention,['IR2021PRD'],False,11-20-2021 12:44:02,11-20-2021 12:44:07,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:44:01
EIPIR,kView,,Savage_replicate,14,No extended retention,['EIPIR'],False,11-20-2021 12:44:02,11-20-2021 12:44:07,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:44:01
EIPPROD,kView,,Savage_replicate,14,No extended retention,['EIPPROD'],False,11-20-2021 12:44:02,11-20-2021 12:44:07,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:44:01
Applications,kView,,Savage_replicate,14,No extended retention,['Applications'],False,11-20-2021 12:47:01,11-20-2021 12:47:04,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:47:02
admin-Claims,kView,,Savage_replicate,14,No extended retention,['admin-Claims'],False,11-20-2021 12:47:01,11-20-2021 12:47:04,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:47:02
DW,kView,,Savage_replicate,14,No extended retention,['DW'],False,11-20-2021 12:47:01,11-20-2021 12:47:04,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:47:02
EA,kView,,Savage_replicate,14,No extended retention,['EA'],False,11-20-2021 12:47:01,11-20-2021 12:47:04,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:47:02
Executive,kView,,Savage_replicate,14,No extended retention,['Executive'],False,11-20-2021 12:47:01,11-20-2021 12:47:04,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:47:02
Finance,kView,,Savage_replicate,14,No extended retention,['Finance'],False,11-20-2021 12:47:01,11-20-2021 12:47:04,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:47:02
Governanace,kView,,Savage_replicate,14,No extended retention,['Governanace'],False,11-20-2021 12:47:01,11-20-2021 12:47:04,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:47:02
IntOps,kView,,Savage_replicate,14,No extended retention,['IntOps'],False,11-20-2021 12:47:01,11-20-2021 12:47:04,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:47:02
IT,kView,,Savage_replicate,14,No extended retention,['IT'],False,11-20-2021 12:47:01,11-20-2021 12:47:04,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:47:02
admin-Phoenix,kView,,Savage_replicate,14,No extended retention,['admin-Phoenix'],False,11-20-2021 12:47:01,11-20-2021 12:47:04,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:47:02
Public,kView,,Savage_replicate,14,No extended retention,['Public'],False,11-20-2021 12:47:01,11-20-2021 12:47:04,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:47:02
Risk-Compliance,kView,,Savage_replicate,14,No extended retention,['Risk-Compliance'],False,11-20-2021 12:47:01,11-20-2021 12:47:04,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:47:02
Security-Guards,kView,,Savage_replicate,14,No extended retention,['Security-Guards'],False,11-20-2021 12:47:01,11-20-2021 12:47:04,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:47:02
Underwriting,kView,,Savage_replicate,14,No extended retention,['Underwriting'],False,11-20-2021 12:47:01,11-20-2021 12:47:04,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:47:02
users,kView,,Savage_replicate,14,No extended retention,['users'],False,11-20-2021 12:47:01,11-20-2021 12:47:04,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 12:47:02
dttc_test3,kPhysical,,Bronze,30,90,['10.26.1.78'],False,11-20-2021 15:14:00,11-20-2021 15:25:06,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 15:14:01
